"","Player.x","player_id","Tm.x","Rk.x","Position","Age","Game_played","Game_started","MP","FG","FGA","FGpct","X3P","X3PA","X3Ppct","X2P","X2PA","X2Ppct","eFGpct","FT","FTA","FTpct","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","PER","TSpct","X3PAr","FTr","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WSper48","OBPM","DBPM","BPM","VORP","Player.y","X2022.23","Tm.y","Signed.Using","Guaranteed","Rk.y","Weight","Height"
"339","Taurean Prince","princta02","MIN",461,"PF",27,69,8,17.1,2.6,5.7,0.454,1.2,3.3,0.376,1.3,2.3,0.565,0.564,0.9,1.2,0.756,0.4,2.1,2.5,1,0.7,0.3,0.8,1.7,7.3,12.4,0.589,0.587,0.21,2.3,13.8,7.9,8.1,1.9,1.9,11.1,17,1,1.2,2.2,0.09,-1,0,-0.9,0.3,"Taurean Prince","$7692308","MIN","Bird",1,179,218,"6-6"
"340","Terance Mann","mannte01","LAC",346,"SF",25,81,33,28.6,4.1,8.5,0.484,0.9,2.6,0.365,3.2,6,0.535,0.539,1.6,2,0.78,1.3,4,5.2,2.6,0.7,0.3,1,2.2,10.8,13.4,0.572,0.301,0.238,4.9,14.3,9.7,13.1,1.2,0.8,9.9,16,3.1,2.4,5.5,0.113,-0.8,0.2,-0.6,0.8,"Terance Mann","$1930681","LAC","Minimum Salary",1,364,215,"6-5"
"341","Terence Davis","daviste02","SAC",129,"SG",24,30,11,17.9,3.8,8.9,0.423,1.6,5,0.329,2.1,3.9,0.542,0.515,1.2,1.5,0.818,0.4,2.8,3.1,1.3,0.8,0.4,1.1,2.3,10.4,14.6,0.543,0.558,0.165,2.2,17,9.5,11.9,2.2,1.8,10.3,25.6,0,0.5,0.5,0.044,-0.6,-0.4,-0.9,0.2,"Terence Davis","$4000000","SAC","Early Bird",1,257,201,"6-4"
"342","Terrence Ross","rosste01","ORL",483,"SG",30,63,0,23,3.5,8.8,0.397,1.2,4.2,0.292,2.3,4.6,0.493,0.467,1.8,2.1,0.862,0.3,2.2,2.6,1.8,0.4,0.2,1.2,1.1,10,10,0.515,0.477,0.235,1.5,10.3,5.9,12.5,0.9,0.8,10.9,20.5,-0.5,0.9,0.3,0.011,-2.5,-1.1,-3.7,-0.6,"Terrence Ross","$11500000","ORL","Bird Rights",1,119,206,"6-6"
"343","Terry Rozier","roziete01","CHO",484,"SG",27,73,73,33.7,7.1,16,0.444,3,8.1,0.374,4.1,7.9,0.516,0.539,2.1,2.4,0.852,0.8,3.5,4.3,4.5,1.3,0.3,1.3,1.6,19.3,17.6,0.566,0.508,0.151,2.4,11.3,6.8,19.7,1.8,1,7.2,23.2,4.3,1.6,5.9,0.115,2.4,-0.7,1.7,2.3,"Terry Rozier","$21486316","CHO","Bird",1,57,190,"6-1"
"344","Terry Taylor","taylote01","IND",527,"SG",22,33,7,21.6,4.1,6.7,0.614,0.4,1.2,0.316,3.7,5.5,0.676,0.641,1.1,1.5,0.706,2.9,2.3,5.2,1.2,0.4,0.2,0.7,1.8,9.6,19,0.656,0.173,0.232,14.6,12.2,13.4,8.6,1,1,8.7,15.9,2.2,0.2,2.4,0.16,2.2,-2.7,-0.6,0.3,"Terry Taylor","$1563518","IND","Minimum Salary",1,426,230,"6-5"
"345","Thanasis Antetokounmpo","antetth01","MIL",13,"SF",29,48,6,9.9,1.5,2.7,0.547,0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,0.4,0.5,0.9,0.095,-3.5,-0.1,-3.5,-0.2,"Thanasis Antetokounmpo","$1878720","MIL","Minimum Salary",1,378,219,"6-6"
"346","Théo Maledon","maledth01","OKC",344,"PG",20,51,7,17.8,2.3,6.2,0.375,0.9,2.9,0.293,1.5,3.3,0.449,0.445,1.5,2,0.79,0.4,2.2,2.6,2.2,0.6,0.2,1.3,1.3,7.1,10.6,0.5,0.473,0.315,2.2,12.8,7.4,18.5,1.7,1.1,15.3,20.3,-0.5,0.8,0.3,0.015,-3.7,-0.7,-4.4,-0.6,"Théo Maledon","$1900000","OKC","",0,376,NA,NA
"347","Theo Pinson","pinsoth01","DAL",445,"SF",26,19,0,7.8,0.7,2.1,0.359,0.5,1.6,0.333,0.2,0.5,0.444,0.487,0.5,0.5,1,0.1,1,1.1,0.9,0.3,0.1,0.3,0.6,2.5,11.9,0.553,0.769,0.256,1.5,14.3,7.9,15.9,1.7,1.2,10.3,14.7,0.2,0.2,0.4,0.122,-1.5,1,-0.5,0.1,"Theo Pinson","$1968175","DAL","Minimum Salary",1,360,212,"6-5"
"348","Thomas Bryant","bryanth01","WAS",81,"C",24,27,9,16.3,2.9,5.5,0.52,0.4,1.6,0.286,2.4,3.9,0.613,0.561,1.3,1.5,0.875,1,3,4,0.9,0.2,0.8,0.7,1.6,7.4,16.6,0.607,0.284,0.27,6.7,20.4,13.6,7.9,0.7,4.1,10.3,18.7,0.7,0.4,1.1,0.118,-0.4,-0.7,-1,0.1,"Thomas Bryant","$2133278","LAL","Minimum Salary",1,342,248,"6-10"
