"","salary","Age","MP","FG","X3P","FT","DRB","AST","PTS","PER","TSpct","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","OBPM","DBPM","VORP","Weight","Height","possGain","possLost","FGM","X3M","FTM","PositionC","PositionPF","PositionPG","PositionSF","PositionSG","starter1"
"Brandon Ingram",17.2702676637207,-0.35311371136701,0.712203182845516,2.21920348405499,0.122805967819694,0.405465108108164,0.387115969439968,0.417735200699979,3.16547504814109,2.98061863574394,0.440832251945456,0.0826917158451134,0.389731326805951,0.309391278018542,0.450124311892384,0.151549898127201,0.0424207158839523,0.211880359035499,1.83528400006427,0.335436503747681,-0.0952740110415943,1.24699761182248,-0.434562059282434,0.248279524585752,-1.06788288138547,0.494197522332804,0.217412876605225,1.3367729384816,1.90084480633204,0.421996170195376,0.303682413798222,0,0,0,1,0,1
"Brook Lopez",16.4479011427096,1.83000075461579,-1.44528719993656,1.7404661748405,0.342143138251146,0.145182009844498,0.212174519943636,0.0452565915881209,2.59525470695687,2.83321334405622,0.451075619360217,0.260372893082566,0.28354127978575,0.306586227090934,0.0595413936910167,0.212174519943636,0.148420005118273,0.144965770250186,0.491659788547129,0.214409871345455,-1.1115301288186,-0.121966586134244,-0.506676074305968,0.111703989580001,2.69045208908533,1.71459526237008,0.386233746180277,0.293589411514393,0.315014701130209,0.288898404811372,0.0923733201310151,1,0,0,0,0,1
"Bruce Brown",15.6840767354321,-0.110545437368921,0.576631059320191,1.52605630349505,-0.754542713906117,0.126999690761308,0.269332933783584,0.177681177237452,2.30258509299405,2.77258872223978,0.454255272277596,0.24023798467351,0.340007891453521,0.339738434407834,0.211211708459943,0.32340015505386,0.0831149067105066,0.167207918983906,-0.761179003272906,0.350860974073313,0.616105271402312,0.00248470458909412,0.791376196117623,0.197359434158495,-0.577665276541454,-0.726200217704471,0.376477571234912,0.0700500843071356,-0.422580696638085,-0.90898148364466,0.149531733970964,0,0,0,1,0,1
"Bryn Forbes",14.6477172603468,0.617159384625346,-0.093956964635543,1.41098697371026,0.451811723466873,0.10848064299407,0.0953101798043249,0.088553397341445,2.28238238567653,2.52572864430826,0.453620149995211,0.038059561824345,0.17402275397926,0.138765760987779,0.156776501904926,0.151549898127201,0.00995033085316809,0.162118849476435,0.364560200971183,0.243230309880947,-0.806653293485501,-0.121966586134244,-1.58838629965896,0.0786431273191131,-0.455110875330449,-1.33639908772311,0.0689928714869514,-0.824107224521896,-0.164422307419182,0.089251756735367,0.0317486983145803,0,0,0,0,1,0
"Buddy Hield",16.837043464174,0.859727658623436,1.58066064214894,1.87180217690159,2.2065090869185,0.13613217432458,0.276253376628158,0.230523658611832,2.8094026953625,2.63188884013665,0.436963775167535,0.117783035656383,0.30204129352967,0.26060111384911,0.248584051158049,0.226773319364788,0.0295588022415444,0.210260925483196,0.582445208244233,0.243230309880947,-0.298525234596996,0.375838576759109,-1.2278162245413,0.143706720666175,0.157661130724574,-0.726200217704471,0.251314428280906,0.815181174997994,1.31076848811741,2.28536488557143,0.0625203569813341,0,0,0,0,1,0
"Cade Cunningham",16.1719017855168,-1.32338680735937,1.00914455461556,2.04122032885964,0.671148893898326,0.206336432997829,0.349375641457121,0.417735200699979,2.91235066461494,2.64617479738412,0.408128225527648,0.117783035656383,0.368995428326773,0.300952409372678,0.466931430208765,0.28312625591592,0.0614086281286434,0.300104592450338,1.50845648915469,0.0425596144187959,0.514479659624611,-0.287901640432028,-0.362448044258902,0.119801199812621,0.157661130724574,-0.116001347685833,0.336472236621213,2.75252201079423,1.7902054966668,1.1540338798074,0.121360857004267,0,0,0,0,1,1
"Caleb Martin",15.6603620362556,0.132022836629168,0.0315981902487411,1.50407739677627,-0.096531202611759,0.117783035656383,0.219500560035709,0.0969922659873097,2.32238772029023,2.76000994003292,0.476855104194837,0.226585895505183,0.306106339777839,0.309391278018542,0.133786983680227,0.32340015505386,0.0738698485664555,0.187309098304994,-0.525136912060436,0.303854931697382,0.717730883180013,0.209903522461325,0.647148166070557,0.189868762429337,-0.455110875330449,-0.421100782695152,0.326215736454024,-0.37702857010738,-0.4594604665265,-0.443139304800648,0.121360857004268,0,0,0,1,0,0
"Cam Reddish",15.5996500689105,-0.838250259363189,-0.461977648132428,1.48160454092422,0.122805967819694,0.19782574332992,0.135801541159062,0.088553397341445,2.40694510831829,2.62466859216316,0.433728573381024,0.110090690033228,0.212620053477403,0.196846599023748,0.133786983680227,0.349375641457121,0.0456105112520523,0.200488860749404,0.546131040365391,0.208544751893057,-0.603402069930099,-0.246417876857582,-0.218220014211836,0.119801199812621,0.035106729513569,0.494197522332804,0.228841572428847,-0.526054788245552,0.130615851688136,0.222349522119371,0.0625203569813339,0,0,0,1,0,0
"Cam Thomas",14.5754562040626,-1.32338680735937,-0.235703931843702,1.45861502269952,-0.535205543474665,0.126999690761308,0.182321556793955,0.105360515657826,2.2512917986065,2.54160199346455,0.418052223613636,0.0626509649616673,0.308132682923072,0.251738426591265,0.180957300102141,0.226773319364788,0.0198026272961797,0.167207918983906,0.527973956425971,0.196710294246054,-0.603402069930099,-0.661255512602043,-1.0114741794707,0.0702042586732486,-0.250853539978775,-1.03129965271379,0.108213584640233,-0.973133442660068,-0.127542537530767,-0.17694377403264,0.0923733201310151,0,0,0,0,1,0
"Cameron Johnson",15.5884097857111,-0.110545437368921,0.518999184947077,1.64865862558738,1.43882899040841,0.145182009844498,0.276253376628158,0.130053128248198,2.60268968544438,2.78501124223834,0.485507815781701,0.110090690033228,0.326187335834888,0.280980276185762,0.146231588728311,0.255346691808845,0.0263173083173734,0.12575120530556,-0.307251904787386,0.371063681390832,1.02260771851312,0.9980950303758,0.502920136023492,0.262364264467491,-0.250853539978775,0.494197522332804,0.217412876605225,-0.526054788245552,0.16749562157655,0.821289466347387,0.0625203569813339,0,1,0,0,0,0
"Cameron Payne",15.6072700271923,0.374591110627257,-0.102876183288525,1.62924053973028,0.0131373826039673,0.126999690761308,0.212174519943636,0.374114578224088,2.46809953147162,2.69462718077007,0.405465108108164,0.0866521170612102,0.291805789635643,0.24578602806397,0.487236696369511,0.241162056816888,0.0392207131532813,0.248421358498478,0.981901054911491,0.208544751893057,0.41285404784691,0.00248470458909412,0.286578090952894,0.159332038569256,-1.35384315087782,-1.64149852273243,0.182321556793955,0.591641847790737,0.536293320460697,0.155800639427369,0.0625203569813339,0,0,1,0,0,0
"Caris LeVert",16.7491703871123,0.374591110627257,0.589529621679888,2.01490302054226,0.23247455303542,0.231442354128905,0.233993567338276,0.335148609690705,2.89037175789616,2.77881927199042,0.421994410059375,0.110090690033228,0.258329860439253,0.227713247004275,0.371493037057255,0.226773319364788,0.036010437523033,0.187309098304994,1.12715772642686,0.265703165733006,-0.400150846374697,0.168419758886879,-0.867246149423632,0.135801541159062,-0.455110875330449,-0.116001347685833,0.251314428280906,0.815181174997994,1.34764825800582,0.55509393557938,0.2295744416445,0,0,0,0,1,1
